 v-sweep         v(vin)          v(vout)        
 0.00000000e+00  0.00000000e+00  1.49999824e+00 
 1.00000000e-03  1.00000000e-03  1.49999822e+00 
 2.00000000e-03  2.00000000e-03  1.49999820e+00 
 3.00000000e-03  3.00000000e-03  1.49999819e+00 
 4.00000000e-03  4.00000000e-03  1.49999817e+00 
 5.00000000e-03  5.00000000e-03  1.49999815e+00 
 6.00000000e-03  6.00000000e-03  1.49999813e+00 
 7.00000000e-03  7.00000000e-03  1.49999811e+00 
 8.00000000e-03  8.00000000e-03  1.49999808e+00 
 9.00000000e-03  9.00000000e-03  1.49999806e+00 
 1.00000000e-02  1.00000000e-02  1.49999804e+00 
 1.10000000e-02  1.10000000e-02  1.49999801e+00 
 1.20000000e-02  1.20000000e-02  1.49999799e+00 
 1.30000000e-02  1.30000000e-02  1.49999796e+00 
 1.40000000e-02  1.40000000e-02  1.49999793e+00 
 1.50000000e-02  1.50000000e-02  1.49999791e+00 
 1.60000000e-02  1.60000000e-02  1.49999788e+00 
 1.70000000e-02  1.70000000e-02  1.49999785e+00 
 1.80000000e-02  1.80000000e-02  1.49999782e+00 
 1.90000000e-02  1.90000000e-02  1.49999778e+00 
 2.00000000e-02  2.00000000e-02  1.49999775e+00 
 2.10000000e-02  2.10000000e-02  1.49999772e+00 
 2.20000000e-02  2.20000000e-02  1.49999768e+00 
 2.30000000e-02  2.30000000e-02  1.49999764e+00 
 2.40000000e-02  2.40000000e-02  1.49999760e+00 
 2.50000000e-02  2.50000000e-02  1.49999756e+00 
 2.60000000e-02  2.60000000e-02  1.49999752e+00 
 2.70000000e-02  2.70000000e-02  1.49999748e+00 
 2.80000000e-02  2.80000000e-02  1.49999744e+00 
 2.90000000e-02  2.90000000e-02  1.49999739e+00 
 3.00000000e-02  3.00000000e-02  1.49999734e+00 
 3.10000000e-02  3.10000000e-02  1.49999730e+00 
 3.20000000e-02  3.20000000e-02  1.49999724e+00 
 3.30000000e-02  3.30000000e-02  1.49999719e+00 
 3.40000000e-02  3.40000000e-02  1.49999714e+00 
 3.50000000e-02  3.50000000e-02  1.49999708e+00 
 3.60000000e-02  3.60000000e-02  1.49999703e+00 
 3.70000000e-02  3.70000000e-02  1.49999697e+00 
 3.80000000e-02  3.80000000e-02  1.49999690e+00 
 3.90000000e-02  3.90000000e-02  1.49999684e+00 
 4.00000000e-02  4.00000000e-02  1.49999677e+00 
 4.10000000e-02  4.10000000e-02  1.49999671e+00 
 4.20000000e-02  4.20000000e-02  1.49999664e+00 
 4.30000000e-02  4.30000000e-02  1.49999656e+00 
 4.40000000e-02  4.40000000e-02  1.49999649e+00 
 4.50000000e-02  4.50000000e-02  1.49999641e+00 
 4.60000000e-02  4.60000000e-02  1.49999633e+00 
 4.70000000e-02  4.70000000e-02  1.49999624e+00 
 4.80000000e-02  4.80000000e-02  1.49999616e+00 
 4.90000000e-02  4.90000000e-02  1.49999607e+00 
 5.00000000e-02  5.00000000e-02  1.49999598e+00 
 5.10000000e-02  5.10000000e-02  1.49999588e+00 
 5.20000000e-02  5.20000000e-02  1.49999578e+00 
 5.30000000e-02  5.30000000e-02  1.49999568e+00 
 5.40000000e-02  5.40000000e-02  1.49999558e+00 
 5.50000000e-02  5.50000000e-02  1.49999547e+00 
 5.60000000e-02  5.60000000e-02  1.49999536e+00 
 5.70000000e-02  5.70000000e-02  1.49999524e+00 
 5.80000000e-02  5.80000000e-02  1.49999512e+00 
 5.90000000e-02  5.90000000e-02  1.49999500e+00 
 6.00000000e-02  6.00000000e-02  1.49999487e+00 
 6.10000000e-02  6.10000000e-02  1.49999474e+00 
 6.20000000e-02  6.20000000e-02  1.49999460e+00 
 6.30000000e-02  6.30000000e-02  1.49999446e+00 
 6.40000000e-02  6.40000000e-02  1.49999431e+00 
 6.50000000e-02  6.50000000e-02  1.49999416e+00 
 6.60000000e-02  6.60000000e-02  1.49999401e+00 
 6.70000000e-02  6.70000000e-02  1.49999385e+00 
 6.80000000e-02  6.80000000e-02  1.49999368e+00 
 6.90000000e-02  6.90000000e-02  1.49999351e+00 
 7.00000000e-02  7.00000000e-02  1.49999333e+00 
 7.10000000e-02  7.10000000e-02  1.49999315e+00 
 7.20000000e-02  7.20000000e-02  1.49999296e+00 
 7.30000000e-02  7.30000000e-02  1.49999276e+00 
 7.40000000e-02  7.40000000e-02  1.49999256e+00 
 7.50000000e-02  7.50000000e-02  1.49999235e+00 
 7.60000000e-02  7.60000000e-02  1.49999213e+00 
 7.70000000e-02  7.70000000e-02  1.49999191e+00 
 7.80000000e-02  7.80000000e-02  1.49999168e+00 
 7.90000000e-02  7.90000000e-02  1.49999144e+00 
 8.00000000e-02  8.00000000e-02  1.49999120e+00 
 8.10000000e-02  8.10000000e-02  1.49999094e+00 
 8.20000000e-02  8.20000000e-02  1.49999068e+00 
