vin,vout,dvout_dvin
0.000000000000000000e+00,1.499998240000000038e+00,-2.000000010049518551e-05
1.000000000000000021e-03,1.499998219999999938e+00,-1.999999994950485416e-05
2.000000000000000042e-03,1.499998200000000059e+00,-1.500000007581547834e-05
3.000000000000000062e-03,1.499998189999999898e+00,-1.499999996212864062e-05
4.000000000000000083e-03,1.499998170000000020e+00,-1.999999994950485416e-05
5.000000000000000104e-03,1.499998149999999919e+00,-2.000000006319169188e-05
6.000000000000000125e-03,1.499998130000000041e+00,-2.000000006319169188e-05
7.000000000000000146e-03,1.499998109999999940e+00,-2.500000005056790542e-05
8.000000000000000167e-03,1.499998079999999900e+00,-2.499999993688106770e-05
8.999999999999999320e-03,1.499998060000000022e+00,-2.000000006319169188e-05
1.000000000000000021e-02,1.499998039999999921e+00,-2.499999993688106770e-05
1.099999999999999936e-02,1.499998010000000104e+00,-2.500000005056790542e-05
1.200000000000000025e-02,1.499997990000000003e+00,-2.499999993688106770e-05
1.299999999999999940e-02,1.499997959999999964e+00,-3.000000015163095668e-05
1.400000000000000029e-02,1.499997929999999924e+00,-2.499999982319422998e-05
1.499999999999999944e-02,1.499997910000000045e+00,-2.500000016425474314e-05
1.600000000000000033e-02,1.499997880000000006e+00,-3.000000003794411896e-05
1.700000000000000122e-02,1.499997849999999966e+00,-3.000000015163095668e-05
1.799999999999999864e-02,1.499997819999999926e+00,-3.499999979794665705e-05
1.899999999999999953e-02,1.499997779999999947e+00,-3.500000002532033250e-05
2.000000000000000042e-02,1.499997749999999908e+00,-2.999999992425728124e-05
2.100000000000000130e-02,1.499997720000000090e+00,-3.500000002532033250e-05
2.199999999999999872e-02,1.499997680000000111e+00,-4.000000001269654604e-05
2.299999999999999961e-02,1.499997639999999910e+00,-4.000000012638338376e-05
2.400000000000000050e-02,1.499997599999999931e+00,-4.000000001269654604e-05
2.500000000000000139e-02,1.499997559999999952e+00,-4.000000012638338376e-05
2.599999999999999881e-02,1.499997519999999973e+00,-3.999999989900970832e-05
2.699999999999999969e-02,1.499997479999999994e+00,-4.000000001269654604e-05
2.800000000000000058e-02,1.499997440000000015e+00,-4.499999988638592185e-05
2.900000000000000147e-02,1.499997390000000097e+00,-5.000000010113581084e-05
2.999999999999999889e-02,1.499997339999999957e+00,-4.500000000007275958e-05
3.099999999999999978e-02,1.499997299999999978e+00,-5.000000010113581084e-05
3.200000000000000067e-02,1.499997239999999898e+00,-5.499999997482518665e-05
3.300000000000000155e-02,1.499997189999999980e+00,-4.999999987376213539e-05
3.400000000000000244e-02,1.499997140000000062e+00,-5.499999997482518665e-05
3.500000000000000333e-02,1.499997079999999983e+00,-5.499999997482518665e-05
3.599999999999999728e-02,1.499997030000000064e+00,-5.499999997482518665e-05
3.699999999999999817e-02,1.499996969999999985e+00,-6.500000006326445146e-05
3.799999999999999906e-02,1.499996899999999966e+00,-6.499999994957761373e-05
3.899999999999999994e-02,1.499996840000000109e+00,-6.499999994957761373e-05
4.000000000000000083e-02,1.499996770000000090e+00,-6.500000006326445146e-05
4.100000000000000172e-02,1.499996710000000011e+00,-6.500000006326445146e-05
4.200000000000000261e-02,1.499996639999999992e+00,-7.499999992433004081e-05
4.299999999999999656e-02,1.499996560000000034e+00,-7.499999992433004081e-05
4.399999999999999745e-02,1.499996490000000016e+00,-7.499999992433004081e-05
4.499999999999999833e-02,1.499996410000000058e+00,-7.999999991170625435e-05
4.599999999999999922e-02,1.499996330000000100e+00,-8.500000012645614333e-05
4.700000000000000011e-02,1.499996239999999981e+00,-8.500000001276930561e-05
4.800000000000000100e-02,1.499996160000000023e+00,-8.500000001276930561e-05
