Adc_ol_dB_arr,fcu_arr
2.405539999999999878e+01,6.704690000000000000e+06
1.506770000000000032e+01,1.600880000000000000e+07
2.489160000000000039e+01,6.194410000000000000e+06
2.377299999999999969e+01,6.722840000000000000e+06
2.597490000000000165e+01,5.180040000000000000e+06
1.481630000000000003e+01,1.659160000000000000e+07
1.343140000000000001e+01,1.809050000000000000e+07
1.512870000000000026e+01,1.499380000000000000e+07
9.545130000000000337e+00,2.905970000000000000e+07
3.096499999999999986e+01,2.854580000000000000e+06
9.753949999999999676e+00,2.789630000000000000e+07
2.980600000000000094e+01,3.415400000000000000e+06
1.348509999999999920e+01,2.118120000000000000e+07
3.199399999999999977e+01,2.592250000000000000e+06
2.780999999999999872e+01,4.148880000000000000e+06
3.094460000000000122e+01,3.008110000000000000e+06
3.020319999999999894e+01,3.234940000000000000e+06
1.413889999999999958e+01,1.820030000000000000e+07
8.673180000000000334e+00,2.784930000000000000e+07
1.210999999999999943e+01,2.263300000000000000e+07
7.307129999999999903e+00,3.552400000000000000e+07
2.046969999999999956e+01,9.596920000000000000e+06
3.032130000000000081e+01,3.256360000000000000e+06
2.973880000000000123e+01,3.496910000000000000e+06
3.202369999999999806e+01,2.625850000000000000e+06
2.612900000000000134e+01,5.158250000000000000e+06
3.016760000000000019e+01,3.246240000000000000e+06
1.942279999999999873e+01,1.087240000000000000e+07
2.300209999999999866e+01,7.079510000000000000e+06
2.666740000000000066e+01,4.678540000000000000e+06
2.230930000000000035e+01,8.020140000000000000e+06
2.795329999999999870e+01,4.202300000000000000e+06
1.557830000000000048e+01,1.499280000000000000e+07
1.895710000000000051e+01,1.080910000000000000e+07
1.542259999999999920e+01,1.491800000000000000e+07
2.196290000000000120e+01,7.812550000000000000e+06
1.492849999999999966e+01,1.667000000000000000e+07
1.693220000000000169e+01,1.424820000000000000e+07
3.019119999999999848e+01,3.180920000000000000e+06
1.037659999999999982e+01,2.565710000000000000e+07
2.835750000000000171e+01,3.890560000000000000e+06
2.656779999999999831e+01,4.837770000000000000e+06
3.363730000000000331e+01,2.175900000000000000e+06
1.427769999999999939e+01,1.845040000000000000e+07
1.438299999999999912e+01,1.714950000000000000e+07
1.173789999999999978e+01,2.211690000000000000e+07
1.656390000000000029e+01,1.467560000000000000e+07
2.685739999999999839e+01,4.499730000000000000e+06
3.290330000000000155e+01,2.441600000000000000e+06
3.336809999999999832e+01,2.388870000000000000e+06
2.978669999999999973e+01,3.403320000000000000e+06
2.693329999999999913e+01,4.724900000000000000e+06
3.324880000000000280e+01,2.388180000000000000e+06
3.376979999999999649e+01,2.130150000000000000e+06
2.582359999999999900e+01,5.534150000000000000e+06
1.854169999999999874e+01,1.159830000000000000e+07
1.895329999999999870e+01,1.125210000000000000e+07
6.685880000000000045e+00,3.314370000000000000e+07
3.367710000000000292e+01,2.238270000000000000e+06
2.433520000000000039e+01,6.225530000000000000e+06
2.035750000000000171e+01,9.478290000000000000e+06
2.715249999999999986e+01,4.592440000000000000e+06
9.777419999999999334e+00,2.901860000000000000e+07
1.540740000000000087e+01,1.648230000000000000e+07
1.730549999999999855e+01,1.333280000000000000e+07
1.001590000000000025e+01,2.756970000000000000e+07
3.314030000000000342e+01,2.474920000000000000e+06
3.056309999999999860e+01,3.205230000000000000e+06
1.115559999999999974e+01,2.428380000000000000e+07
2.277840000000000131e+01,6.961790000000000000e+06
1.792680000000000007e+01,1.275320000000000000e+07
1.838980000000000103e+01,1.219740000000000000e+07
2.922700000000000031e+01,3.528250000000000000e+06
9.499959999999999738e+00,3.020880000000000000e+07
2.278320000000000078e+01,7.138520000000000000e+06
1.753679999999999950e+01,1.242030000000000000e+07
2.416479999999999961e+01,6.335170000000000000e+06
2.252410000000000068e+01,7.893600000000000000e+06
1.475789999999999935e+01,1.794190000000000000e+07
3.153989999999999938e+01,2.690790000000000000e+06
1.485009999999999941e+01,1.652610000000000000e+07
1.604909999999999926e+01,1.528170000000000000e+07
3.023019999999999996e+01,3.099270000000000000e+06
1.571209999999999951e+01,1.515240000000000000e+07
1.734479999999999933e+01,1.237090000000000000e+07
1.347649999999999970e+01,1.966570000000000000e+07
3.197060000000000102e+01,2.643830000000000000e+06
1.777339999999999876e+01,1.218550000000000000e+07
3.200390000000000157e+01,2.778280000000000000e+06
2.353089999999999904e+01,7.183360000000000000e+06
2.884430000000000049e+01,3.889240000000000000e+06
1.849780000000000157e+01,1.189360000000000000e+07
1.614570000000000149e+01,1.508890000000000000e+07
3.311299999999999955e+01,2.340940000000000000e+06
7.846870000000000012e+00,3.212800000000000000e+07
9.761329999999999174e+00,2.873840000000000000e+07
2.840299999999999869e+01,3.892750000000000000e+06
1.385720000000000063e+01,1.723270000000000000e+07
1.316699999999999982e+01,2.082000000000000000e+07
1.290259999999999962e+01,2.054450000000000000e+07
2.333970000000000056e+01,6.669080000000000000e+06
1.748450000000000060e+01,1.330460000000000000e+07
1.712659999999999982e+01,1.337350000000000000e+07
3.365370000000000061e+01,2.189660000000000000e+06
2.328419999999999845e+01,7.507390000000000000e+06
3.314289999999999736e+01,2.504260000000000000e+06
1.087459999999999916e+01,2.509870000000000000e+07
1.561759999999999948e+01,1.531630000000000000e+07
1.741540000000000177e+01,1.220570000000000000e+07
2.132469999999999999e+01,8.525320000000000000e+06
1.279809999999999981e+01,2.170760000000000000e+07
3.353000000000000114e+01,2.322120000000000000e+06
3.088419999999999987e+01,3.130470000000000000e+06
2.476269999999999882e+01,5.854460000000000000e+06
3.152909999999999968e+01,2.738460000000000000e+06
2.394849999999999923e+01,6.785650000000000000e+06
1.251539999999999964e+01,2.267330000000000000e+07
2.271349999999999980e+01,8.053200000000000000e+06
2.147759999999999891e+01,8.958420000000000000e+06
2.764859999999999829e+01,4.274290000000000000e+06
1.726170000000000115e+01,1.263740000000000000e+07
2.340990000000000038e+01,6.596770000000000000e+06
1.398850000000000016e+01,1.770450000000000000e+07
1.395459999999999923e+01,1.905830000000000000e+07
2.070060000000000144e+01,8.821080000000000000e+06
1.125389999999999979e+01,2.510060000000000000e+07
2.833060000000000045e+01,3.891210000000000000e+06
3.154650000000000176e+01,2.808590000000000000e+06
2.251610000000000156e+01,7.843560000000000000e+06
2.373400000000000176e+01,6.478210000000000000e+06
3.083780000000000143e+01,3.019400000000000000e+06
1.554920000000000080e+01,1.538520000000000000e+07
3.234810000000000230e+01,2.582750000000000000e+06
8.946600000000000108e+00,3.200270000000000000e+07
2.582290000000000063e+01,5.524000000000000000e+06
1.747240000000000038e+01,1.362210000000000000e+07
2.107819999999999894e+01,8.472480000000000000e+06
1.612669999999999959e+01,1.521480000000000000e+07
3.225809999999999889e+01,2.616410000000000000e+06
2.133180000000000121e+01,8.991910000000000000e+06
2.787340000000000018e+01,4.223920000000000000e+06
1.373590000000000089e+01,1.792860000000000000e+07
1.732219999999999871e+01,1.398510000000000000e+07
3.300780000000000314e+01,2.399680000000000000e+06
2.229789999999999850e+01,7.754830000000000000e+06
2.831599999999999895e+01,4.004110000000000000e+06
2.102540000000000120e+01,8.680500000000000000e+06
1.271860000000000035e+01,1.972750000000000000e+07
5.566840000000000011e+00,4.341010000000000000e+07
1.593009999999999948e+01,1.419470000000000000e+07
3.391149999999999665e+01,2.016150000000000000e+06
1.921209999999999951e+01,1.058350000000000000e+07
3.178740000000000165e+01,2.758130000000000000e+06
3.326570000000000249e+01,2.296980000000000000e+06
2.535150000000000148e+01,5.400820000000000000e+06
2.582239999999999824e+01,5.265260000000000000e+06
9.066440000000000055e+00,3.103400000000000000e+07
2.286039999999999850e+01,6.938890000000000000e+06
1.612809999999999988e+01,1.535940000000000000e+07
2.245660000000000167e+01,7.290920000000000000e+06
2.918250000000000099e+01,3.448440000000000000e+06
5.608660000000000423e+00,3.993160000000000000e+07
3.044739999999999824e+01,3.203880000000000000e+06
1.567789999999999928e+01,1.586950000000000000e+07
3.252960000000000207e+01,2.600200000000000000e+06
2.714740000000000109e+01,4.618720000000000000e+06
3.357220000000000226e+01,2.282060000000000000e+06
3.086779999999999902e+01,3.061890000000000000e+06
2.088840000000000074e+01,8.987920000000000000e+06
3.334700000000000131e+01,2.401790000000000000e+06
3.092419999999999902e+01,3.148440000000000000e+06
3.151060000000000016e+01,2.871060000000000000e+06
2.581080000000000041e+01,5.403370000000000000e+06
3.329480000000000217e+01,2.228780000000000000e+06
3.321000000000000085e+01,2.204170000000000000e+06
1.404700000000000060e+01,1.775440000000000000e+07
2.800619999999999976e+01,4.286590000000000000e+06
3.139199999999999946e+01,2.902730000000000000e+06
3.346569999999999823e+01,2.144720000000000000e+06
1.089610000000000056e+01,2.302860000000000000e+07
3.335179999999999723e+01,2.407340000000000000e+06
3.257909999999999684e+01,2.542560000000000000e+06
1.515000000000000036e+01,1.617270000000000000e+07
1.461469999999999914e+01,1.747890000000000000e+07
3.250200000000000244e+01,2.470500000000000000e+06
1.913560000000000016e+01,1.060020000000000000e+07
7.707970000000000432e+00,3.457070000000000000e+07
3.282090000000000174e+01,2.475550000000000000e+06
1.321669999999999945e+01,2.107080000000000000e+07
1.681060000000000088e+01,1.388840000000000000e+07
3.094359999999999999e+01,3.181920000000000000e+06
3.353289999999999793e+01,2.159420000000000000e+06
1.796959999999999980e+01,1.204520000000000000e+07
3.227000000000000313e+01,2.799590000000000000e+06
1.606299999999999883e+01,1.471090000000000000e+07
2.295070000000000121e+01,7.226770000000000000e+06
1.546630000000000038e+01,1.598260000000000000e+07
1.834890000000000043e+01,1.146040000000000000e+07
9.657859999999999445e+00,2.856350000000000000e+07
2.087940000000000040e+01,9.118250000000000000e+06
