 time            v(uio_in_0)     v(analog_0)     v(analog_1)     v(analog_2)    
 0.00000000e+00  0.00000000e+00  7.50000000e-01  5.37180490e-01  1.49999824e+00 
 1.00000000e-10  1.50000000e-02  7.50000006e-01  5.37180490e-01  1.50093051e+00 
 2.00000000e-10  3.00000000e-02  7.50000013e-01  5.37180489e-01  1.50178313e+00 
 4.00000000e-10  6.00000000e-02  7.50000025e-01  5.37180487e-01  1.50331805e+00 
 8.00000000e-10  1.20000000e-01  7.50000050e-01  5.37180478e-01  1.50575416e+00 
 1.60000000e-09  2.40000000e-01  7.50000101e-01  5.37180440e-01  1.50877164e+00 
 2.15752297e-09  3.23628445e-01  7.50000136e-01  5.37180398e-01  1.50924784e+00 
 2.78572721e-09  4.17859081e-01  7.50000175e-01  5.37180336e-01  1.50716170e+00 
 3.59911896e-09  5.39867844e-01  7.50000226e-01  5.37180232e-01  1.49755234e+00 
 4.44766401e-09  6.67149601e-01  7.50000279e-01  5.37180095e-01  1.47481139e+00 
 5.80069361e-09  8.70104041e-01  7.50000364e-01  5.37179820e-01  1.38766130e+00 
 6.68727082e-09  1.00309062e+00  7.50000420e-01  5.37179601e-01  1.26860247e+00 
 7.51251663e-09  1.12687749e+00  7.50000472e-01  5.37179372e-01  1.10380424e+00 
 8.02171808e-09  1.20325771e+00  7.50000504e-01  5.37179217e-01  9.77335138e-01 
 8.52503805e-09  1.27875571e+00  7.50000536e-01  5.37179055e-01  8.35630221e-01 
 8.74767580e-09  1.31215137e+00  7.50000550e-01  5.37178981e-01  7.68539502e-01 
 9.11158212e-09  1.36673732e+00  7.50000572e-01  5.37178855e-01  6.56405302e-01 
 9.55632231e-09  1.43344835e+00  7.50000600e-01  5.37178695e-01  5.23501157e-01 
 1.00000000e-08  1.50000000e+00  7.50000628e-01  5.37178529e-01  4.04049052e-01 
 1.00889480e-08  1.50000000e+00  7.50000634e-01  5.37178494e-01  3.82196570e-01 
 1.02668441e-08  1.50000000e+00  7.50000645e-01  5.37178425e-01  3.40867070e-01 
 1.05750255e-08  1.50000000e+00  7.50000664e-01  5.37178302e-01  2.77780515e-01 
 1.11913883e-08  1.50000000e+00  7.50000703e-01  5.37178046e-01  1.80555678e-01 
 1.19956284e-08  1.50000000e+00  7.50000754e-01  5.37177694e-01  9.82325204e-02 
