time_ms,uio_in_0,analog_0,analog_1,analog_2
0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,5.371804900000000105e-01,1.499998240000000038e+00
1.000000000000000087e-07,1.499999999999999944e-02,7.500000060000000524e-01,5.371804900000000105e-01,1.500930510000000107e+00
2.000000000000000174e-07,2.999999999999999889e-02,7.500000129999999654e-01,5.371804890000000388e-01,1.501783129999999966e+00
4.000000000000000348e-07,5.999999999999999778e-02,7.500000249999999591e-01,5.371804869999999843e-01,1.503318050000000072e+00
8.000000000000000697e-07,1.199999999999999956e-01,7.500000500000000292e-01,5.371804780000000168e-01,1.505754159999999953e+00
1.600000000000000139e-06,2.399999999999999911e-01,7.500001010000000301e-01,5.371804399999999813e-01,1.508771639999999969e+00
2.157522970000000198e-06,3.236284449999999868e-01,7.500001360000000394e-01,5.371803979999999479e-01,1.509247840000000007e+00
2.785727209999999671e-06,4.178590810000000211e-01,7.500001750000000467e-01,5.371803360000000360e-01,1.507161699999999938e+00
3.599118960000000149e-06,5.398678439999999856e-01,7.500002260000000476e-01,5.371802319999999797e-01,1.497552339999999926e+00
4.447664009999999462e-06,6.671496009999999810e-01,7.500002789999999919e-01,5.371800949999999686e-01,1.474811389999999944e+00
5.800693609999999692e-06,8.701040410000000502e-01,7.500003640000000305e-01,5.371798199999999746e-01,1.387661299999999986e+00
6.687270819999999936e-06,1.003090620000000044e+00,7.500004200000000010e-01,5.371796009999999510e-01,1.268602470000000038e+00
7.512516630000000044e-06,1.126877490000000037e+00,7.500004719999999736e-01,5.371793719999999883e-01,1.103804240000000103e+00
8.021718080000000997e-06,1.203257709999999925e+00,7.500005039999999568e-01,5.371792170000000421e-01,9.773351380000000477e-01
8.525038050000000289e-06,1.278755709999999990e+00,7.500005360000000509e-01,5.371790549999999609e-01,8.356302209999999508e-01
8.747675799999998731e-06,1.312151370000000039e+00,7.500005499999999881e-01,5.371789810000000553e-01,7.685395019999999855e-01
9.111582119999999657e-06,1.366737319999999922e+00,7.500005720000000320e-01,5.371788549999999551e-01,6.564053020000000238e-01
9.556322310000000132e-06,1.433448349999999927e+00,7.500006000000000173e-01,5.371786950000000394e-01,5.235011569999999947e-01
1.000000000000000082e-05,1.500000000000000000e+00,7.500006280000000025e-01,5.371785289999999602e-01,4.040490520000000196e-01
1.008894800000000056e-05,1.500000000000000000e+00,7.500006340000000549e-01,5.371784939999999509e-01,3.821965700000000132e-01
1.026684409999999999e-05,1.500000000000000000e+00,7.500006449999999658e-01,5.371784250000000149e-01,3.408670699999999942e-01
1.057502550000000099e-05,1.500000000000000000e+00,7.500006639999999836e-01,5.371783020000000519e-01,2.777805150000000056e-01
1.119138830000000130e-05,1.500000000000000000e+00,7.500007029999999908e-01,5.371780459999999646e-01,1.805556779999999972e-01
1.199562839999999881e-05,1.500000000000000000e+00,7.500007539999999917e-01,5.371776940000000389e-01,9.823252039999999519e-02
1.273505340000000063e-05,1.500000000000000000e+00,7.500008000000000230e-01,5.371773499999999979e-01,5.398507279999999880e-02
